title,total_views,total_downloads,total_caption_views,total_transcript_views,viewed_hd,viewed_five_percent,viewed_ten_percent,viewed_twentyfive_percent,viewed_fifty_percent,viewed_seventyfive_percent,viewed_ninetyfive_percent,viewed_onehundred_percent,console_device_percentage,desktop_device_percentage,mobile_device_percentage,tv_device_percentage,tablet_device_percentage,unknown_device_percentage,europe_views_percentage,oceania_views_percentage,asia_views_percentage,north_america_views_percentage,south_america_views_percentage,africa_views_percentage,antarctica_views_percentage
Predicting crime using street structure,459,46,12,60,23,72.33,71.24,68.19,65.80,63.83,60.35,58.39,0.00,86.27,6.75,0.00,6.32,0.00,55.56,6.10,15.47,10.46,5.45,5.66,0.00
Interview with Bruno Gonçalves,300,35,0,56,9,70.67,69.33,67.67,66.33,65.00,62.67,60.00,0.00,88.33,5.33,0.00,5.33,0.00,55.00,6.33,14.00,11.00,5.67,6.33,0.00
The difficulties in predicting stock market movements,487,43,2,73,20,72.28,70.64,69.20,67.76,65.91,63.86,59.55,0.00,87.47,6.37,0.00,5.54,0.00,57.29,5.75,14.58,10.47,5.75,5.13,0.00
Interview with H. Eugene Stanley,658,55,10,111,25,72.64,71.28,67.48,65.50,63.37,62.46,61.25,0.00,86.63,7.29,0.00,5.62,0.00,56.69,5.47,16.41,10.03,5.32,4.86,0.00
Week 7 round-up,208,0,0,28,12,67.79,64.42,62.02,58.17,54.33,53.37,46.63,0.00,84.62,7.69,0.00,6.73,0.00,56.73,5.77,13.46,11.54,5.29,4.81,0.00
How taxi drivers choose their route around the city,240,31,5,39,15,65.83,63.75,60.83,56.67,54.58,54.17,51.25,0.00,82.92,9.17,0.00,7.50,0.00,56.25,7.08,13.75,12.50,5.83,3.75,0.00
Smart cities and wearable technology,770,62,3,98,22,74.29,72.21,68.96,65.06,63.12,61.30,59.22,0.00,84.81,7.53,0.00,7.01,0.00,58.18,5.06,15.71,10.00,4.81,5.19,0.00
Finding out what people are looking for on Wikipedia using R,936,118,10,112,121,67.41,65.38,61.00,53.85,50.64,49.79,45.83,0.00,88.25,5.66,0.00,5.56,0.00,57.05,5.77,15.28,9.83,5.77,5.56,0.00
Interview with Professor Steven Koonin,1452,113,13,191,40,79.96,78.72,77.13,75.07,73.76,72.31,68.18,0.00,82.09,9.71,0.00,7.58,0.00,54.82,4.41,19.63,8.75,5.03,6.34,0.00
How the Financial Times reflects financial market trading,620,54,9,93,32,75.00,74.52,71.77,68.23,65.81,61.13,52.10,0.00,87.10,6.77,0.00,5.65,0.00,57.10,5.81,15.32,9.84,5.65,5.32,0.00
Which search terms perform best in a Google trading strategy?,576,61,13,82,26,71.35,70.49,67.36,64.58,61.11,57.64,52.95,0.00,86.98,6.77,0.00,5.56,0.00,57.81,5.56,14.24,10.94,4.51,5.90,0.00
Detecting flu infections with Google searches,380,39,2,57,21,68.68,66.84,63.95,60.79,60.79,58.95,56.32,0.00,87.89,5.26,0.00,6.32,0.00,55.79,6.84,13.42,10.53,6.58,5.79,0.00
Universal patterns in cities and new data sources,226,32,1,38,11,68.14,68.58,68.14,65.49,61.95,61.06,59.73,0.00,84.51,8.85,0.00,6.19,0.00,57.52,6.19,12.39,12.83,5.31,4.42,0.00
Measuring happiness with Twitter and Facebook,335,41,2,55,14,69.85,68.66,67.46,65.67,64.48,64.18,56.72,0.00,85.97,6.57,0.00,6.27,0.00,57.61,5.37,12.84,11.64,5.67,4.78,0.00
Faster measurements of human behaviour with big data,1110,86,15,172,35,74.68,71.44,69.01,64.41,62.52,61.71,58.65,0.00,85.77,7.30,0.00,6.49,0.00,55.41,4.95,17.57,9.28,5.05,6.85,0.00
Building a trading strategy on Google data,597,56,5,105,20,74.54,72.53,69.85,66.16,65.83,64.99,58.96,0.00,87.60,7.20,0.00,4.69,0.00,55.44,6.03,15.58,10.89,5.86,5.36,0.00
Personal attributes are identifiable from Facebook likes,301,39,9,49,16,68.77,66.45,59.47,53.16,50.17,48.17,48.50,0.00,85.71,6.64,0.00,6.31,0.00,57.14,4.98,14.29,10.96,5.32,5.32,0.00
Week 8 round-up,207,0,0,27,10,56.52,54.59,49.76,43.00,42.51,39.61,36.23,0.00,83.09,9.18,0.00,7.25,0.00,59.42,4.35,13.53,11.11,4.83,5.31,0.00
Reflecting on big data,201,33,0,33,10,64.18,60.20,57.21,55.22,53.73,51.74,45.27,0.00,84.08,7.46,0.00,6.97,0.00,56.22,7.46,12.44,12.44,4.48,4.48,0.00
Interview with Michael Batty,225,29,1,34,10,65.78,64.89,62.67,58.67,57.33,56.89,56.44,0.00,85.33,8.00,0.00,6.22,0.00,56.44,7.11,11.56,14.22,5.78,3.56,0.00
Predicting human behaviour with big data,1193,82,9,161,27,78.29,76.28,74.43,69.07,67.56,66.05,64.29,0.00,85.33,8.05,0.00,6.12,0.00,55.41,5.36,18.02,9.14,5.78,5.53,0.00
Counting crowds with mobile phone and Twitter data,271,34,5,38,18,71.59,69.37,66.42,62.73,57.93,53.87,47.23,0.00,85.24,8.49,0.00,5.54,0.00,55.72,8.12,13.28,11.81,5.90,3.69,0.00
